cryptocurrency,address
ADA,addr1q9c27w7u4uh55sfp64ahtrnj44jkthpe7vyqgcpt73z9lrq7fw3juld8k2ksz2p82tv45j8yc5wzqmr4ladxyt0vjxrsf33mjk
ATOM,cosmos1mcah8lel6rxhlqsyrzpm8237cqcuzgyw70nm6f
BNB,bnb1u64a2n3jhw4yh73s84rc58v8wxrwp7r8jwakpr
BNB,bnb1vmwl54jxj9yvsgz33xtyuvqnurdjy2raqnttkq
BTC,1L8EBHDeiHeumtcpcroaxBceXnWFiYU5dh
BTC,1Pqkb4MZwKzgSNkaX32wMwg95D9NfW9vZX
BTC,32Wx3dsHCCxyJZLwseFYkgeFqVk16tCCcF
BTC,3JvBvRuBfYvB6MjzMornj9EQpxhq9W7vXP
BTC,bc1qn6ype8u5kgj672mvsez9wz9wt9wk22tzd5vprp
BTC,bc1qxgz2g8kn2kg0wqqrmctyxu5n925pnwphzlehaw
BTC,qq9yrhef7csy3yzgxgs0rvkvez440mk53gv8ulyu6a
BTC,qqh3g98z60rdl05044xxt7gkgncezmdfy5tja99z53
DASH,XdxTmTFuHrcHnQQhfweAnHtExFB5BXmU1z
DASH,Xtwj8uGx77NYBUki1UCPvEhe4kHYi6yWng
DOT,122zNSYNN2TSR2H5wBCX16Yyvq7qLFWo1d6Lvw2t9CNxMxt1
DOGE,DDxhfK5wbJkRN25mAbBYk3ND4xLjiMRyNq
DOGE,DUUNTm23sVwLyiw27WW9ZPT9XfiWhB1Cvf
ETH,0x12507F83Dde59C206ec400719dF80D015D9D17B6
ETH,0x884467182849bA788ba89300e176ebe11624C882
KAVA,kava1emxzwjw84e0re7awgue9kp4gseesyqrttg69sm
SOL,7j5bxiFPSsScScBEjLj9qud5Yc2CqXGmembX3hQBdFTd$
USDT,TDJLMdJWPrKNMHuxgpQL8QPYgvdXTnWJao
XMR,475WGyX8zvFFCUR9ufThrNRtJmzmU13gqH9GV2WgAjbR7FgRVCWzokdfVf2hqvRbDBaMzBm1zpDiBTpBgxLt6d7nAdEEhC4
XMR,48qx1krgEGzdcSacbmZdioNwXxW6r43yFSJDKPWZb3wsK9pYhajHNyE5FujWo1NxVwEBvGebS7biW9mjMEWdMevqMGmDJ6x
XRP,rH6dyKWNpcvFz6fQ4ohyDbevSxcxdxfSmz
XRP,rpzn8Ax7Kz1A4Yi8KqvzV43KYsa59SH2Aq
XTZ,tz1g6rcQAgtdZc8PNUaTUzrDD8PYuCeVj4mb
ZEC,t1XjiZx8EydDDRuLisoYyVifcSFb96a3YBj
ZIL,zil1aw3kyrymt52pq2e4xwzusdfce9e5tmewvshdrm
